,ZeRo,MKLeo,Nairo,Dabuz,Ally,Larry Lurr,CaptainZack,Komorikiri/komorikiri,Mr.R,Abadango,Salem,Tweek,VoiD,Marss,Fatality,KEN,Ranai,ESAM,Kirihara,Zinoto,ANTi,Locus,9B,Samsora,Elegant,Tsu,Kameme,falln,MVD,Mr.E,6WX,T,Shuton,Raito,Earth,HIKARU,Ned,Rich Brown,Myran,Manny,ScAtt,NAKAT,Nietono,Javi,Ac,WaDi,Edge,JK,Choco,FOW,K9sbruce,Shoyo James,Trela,Tyrant,Wrath,Mistake,Cosmos,Lima,False,Vinnie,Charliedaking,tyroy,Konga,Light,DarkShad,Zenyou,Ryuga,dyr,IxisNaugus,SuperGirlKels,Luhtie,Gluttony,Mercury,Peli,Lazyboredom,Biddy,YuCas,Das,ven,Captain L,Ramzy,Akashic,Day,RosaGetsFit,MJG,Candy,SMOM,colinies,Taiheita,Chanshu,Kurry,Griffith,Dr. Copter,Ksev,Megafox,TSS,CoNo,SoCalGohan,Egaz,Dakpo,Legit,Nom,DSS,DarkAura,Umeki,Sells,Pink Fresh,Mew2King,Hushpuppy,WiiASE,Vivid,JTreezy,S1,Black Yoshi,aperture,Raptor,Lagnel,SS,2scoops Nicko,Meru,Kswz,SM,Pyreeze,MastaMario,Sonido,Shaky,Dandy Penguin,Spearwing,FILIP,Kuma,Brosinex,Phoenix,Lycan,Slenderman,Gackt,Remzi,Ghost,Aki,Dynamo,Omega Tyrant,Eda,Supahsemmie,Grizz,Nero,Hammer,Cacogen,JFK,Horse,Brood,Hide,Smith,Crazycolorz5,K0rean,Nicko,Illusion,Sheen,DeKu,Lickey?,Hero,Pepo,Ke-ya,Rain,Yuzu,MisterMan,Shu,MagiMagi,Seth,Ozone,BaSK 3xA,smasher1001,Tsunayoshi,Riz,Richi,Axiom XL,San,Elexiao,Zoan,Exodia,Stroder,KidG,dekillsage,Wraith,Yackabean,HyperKirby,sinnyboo242,Masashi,????/MatchaN.,Dougles,Ross,Vash,Whispy,Kome,Fwed,Aarvark,YOC,Phuzix,Mr. Riddle,Sigma,Chag,BANG!,Ralphie,Blank,Sinji,Es,THUNDER,Light The Lantern,VaLoR,bAhuto,Harlock,Dath,Bkr l Blacktwins13,Kuro,SeP,BBC,BigLou,Sonix,R1HKami,Kishiru,Tael1996,Salt One,Xzax,Pichi,BlackDynoWright,Rickles,Mumei,NameLess,Kie,Seagull Joe,M,Wonf,Craftis,Omegaspike,Cashmere,John Numbers,Lucretio,Matikitu,Sim-Max,Pow,Chez,LoNg0uw,TLOrEo,Zex,Nishiya,Selcia,Rideae,Tortas FC,Skylar,Deathorse,iStudying,Fye,KOSSismoss,Brand,Angel Cortes,Waymas,Yura,Ri-ma,Zaki,Dunkmaster Ragna,Lunarosity,ProtoBanham,Pugwest,Vermillion,Jabe,JJROCKETS,Xyro,Chaos,LetsTickle,Venom,Draxsel,Masha,wusi,RED9,AGman,aMSa,LuxDre,Geist,MF Space,OwlBBs,Songn,Doomlion,Poyo,Speclar,Eon,Smokk,Zan,LCQ,Mute Ace,AEMehr,Ateozc,Mekos,IceArrow,Afro Smash,quiK,Calculus,Maiko,KDK,Kiosk,Matsu,Dr.DORF,Gen,Fhyr Rain,Vice,CC,Dragon,Zage,Freakzoid9000,Razo,Bedgar,Kumai,Ducky,Cali,Tengu,Twan,Scizor,Saiki,:^),King Koopa,Yoh,V115,Edwin,Soko,LingLing,yeti,Eldin,takera,Charger,Chuck Nasty,Keitaro,Dark Wizzy,Yaminabe,Shade,8Bitman/8BitMan,Houston,TLTC,Parme,Sol,PiXL,Chrim Foish,Glutonny,Envoid,BB,LG.Abadango,Shogun,RoguePenguin,Lazh,Ninja,Donquavious,Purple~H,LordMix,Skorpio,SilentDoom,Sandstorm,Deluxemenu,Eim,El_Pitikla,iModerz,pu55yk1ng,Shoe,DiZ,Dainosuke,Cilvanis,Apa~,Googs,Lea,BestNess,Doctor B,Raw,Len,Frozen,iDK,MattyG,Death Arcana,Earthboundy,NickRiddle,Serge,Ron,ARMY,Rox,Lightwork,Paper,LF/Chaplin,NCJacobT,Twi,GAME,Meteor,MrConCon,Captain Levi,saj.,IcyMist,Koolaid,cyve,Regulating_Mofo,Ramses,Taternator,RiotLettuce,Waldo,Suinoko,Xion,Z,Kisha,Puppeh,Tea,big_mak,Xaltis,Tachyon,Ryo,Ty,Karna,Strike,Mystearica,The Great Gonzales,adom,Detta,Mao,Trevonte,Peabnut,RFang,Kiddykong,OBA,DKHo,Mangalitza?,ARJAY!!!,Raffi-X
Twan,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,1-0,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,
Scizor,,,,,,,,0-1,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,0-1,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,
:^),,,0-1,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Koopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoh,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,1-0,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,
V115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,0-1,,,,,,
Soko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LingLing,,,,0-1,,,,,,,,,,,,,,,,,,,,,,0-1,,,,1-0,,,,,,,,,,,,,,,1-0,0-1,,,,,,0-1,,,,,,0-1,,,,1-0,,,,,,,,,,,,,,,,,,,1-0,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,0-1,,,,,,,
yeti,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
takera,,,,,,,,,,0-1,0-1,,,,,1-0,,,0-1,,,,0-1,,,1-1,,,,,,,,,,,,,,,,,,,,,,,0-1,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,1-0,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,1-0,,,,,,,,,
Charger,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,0-1,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Nasty,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keitaro,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Wizzy,,0-1,,,,,1-0,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaminabe,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shade,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Bitman/8BitMan,,,,,,,,,0-1,,,,,,,,,0-1,,,,,,,,,,,0-1,0-1,,,,,,,,,1-0,0-1,,,,1-0,,,,,,,,,,,,0-1,,0-1,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLTC,,,,,,,,,,0-1,,,,,0-1,0-1,,,1-0,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,1-0,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,0-1,,,,1-0,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sol,,,,0-1,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,0-1,0-1,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PiXL,,,0-1,,,0-1,,,0-1,0-1,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,0-1,,,,,,0-1,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,1-1,,,,,1-0,,,,,,1-0,,,,,,,,,,,,,,,,,,,1-0,1-0,,,,,,,,,1-0,,,1-0,,,,,,,1-0,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
